,TEAM,CONF,Power Conference,G,W,ADJEM,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOM,TOR,RBM,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POSTSEASON,Year
0,Houston,B12,1,34,30,33.7,119.2,85.5,0.9785,49.7,44.0,11.0,13.7,6.699999999999999,24.7,36.9,30.2,29.9,39.0,48.4,43.4,34.7,30.0,63.3,10.6,1.0,S16,2024
1,Connecticut,BE,1,34,31,33.5,127.1,93.6,0.9712,57.1,45.1,1.299999999999999,14.9,9.7,16.2,36.5,26.8,33.3,32.5,58.5,43.7,36.7,31.9,64.6,11.3,1.0,Champions,2024
2,Purdue,B10,1,33,29,31.5,126.2,94.7,0.9644,56.0,47.7,-2.5,16.5,12.7,14.0,37.4,24.7,42.8,23.0,53.2,48.1,40.8,31.4,67.6,11.0,1.0,2ND,2024
3,Iowa St.,B12,1,34,27,27.099999999999994,113.6,86.5,0.9583,51.9,47.1,10.0,15.7,2.200000000000003,25.7,31.6,29.4,36.1,35.2,51.7,46.9,34.9,31.5,67.6,6.9,2.0,S16,2024
4,Auburn,SEC,1,34,27,28.60000000000001,120.7,92.1,0.9573,54.1,43.4,3.299999999999999,14.9,2.599999999999998,18.2,32.9,30.3,38.2,41.0,54.9,42.8,35.2,29.8,69.8,5.5,4.0,R64,2024
5,Arizona,P12,1,33,25,27.900000000000006,121.5,93.6,0.9526,55.0,48.7,2.0,16.1,13.199999999999996,18.1,36.3,23.1,36.7,25.7,54.6,47.8,37.1,33.4,72.0,4.9,2.0,S16,2024
6,Tennessee,SEC,1,32,24,24.39999999999999,115.6,91.2,0.9382,51.5,45.4,4.299999999999999,14.6,3.799999999999997,18.9,32.4,28.6,34.3,35.8,51.6,44.3,34.2,31.4,69.2,5.8,2.0,E8,2024
7,Marquette,BE,1,34,25,24.30000000000001,118.9,94.6,0.9328,55.1,49.7,6.800000000000001,14.3,-4.800000000000001,21.1,26.0,30.8,25.6,28.2,56.0,49.2,35.8,33.6,69.1,6.5,2.0,S16,2024
8,North Carolina,ACC,1,34,27,23.599999999999994,116.8,93.2,0.9305,51.3,46.4,0.5,14.4,9.299999999999997,14.9,32.8,23.5,36.8,28.3,50.3,46.0,35.4,31.4,70.4,6.6,1.0,S16,2024
9,Creighton,BE,1,32,23,24.099999999999994,120.6,96.5,0.9289,57.5,46.4,-4.100000000000001,15.3,1.2999999999999972,11.2,25.9,24.6,24.5,16.2,60.6,45.7,36.1,32.2,66.9,4.4,3.0,S16,2024
10,Duke,ACC,1,32,24,24.0,120.8,96.8,0.9272,55.2,49.0,2.599999999999998,14.3,5.900000000000002,16.9,31.8,25.9,33.8,27.6,54.4,49.1,37.7,32.6,66.9,3.3,4.0,E8,2024
11,Illinois,B10,1,34,26,24.200000000000003,125.3,101.1,0.9221,53.8,48.0,-2.799999999999999,15.1,10.100000000000001,12.3,36.2,26.1,37.8,27.1,54.7,46.6,34.9,34.3,69.9,6.0,3.0,E8,2024
12,Saint Mary's,WCC,0,32,26,22.099999999999994,115.8,93.7,0.9198,53.1,45.1,0.6999999999999993,16.0,16.6,16.7,39.0,22.4,28.3,32.2,53.0,43.6,35.5,32.4,62.1,1.4,5.0,R64,2024
13,Gonzaga,WCC,0,31,25,22.700000000000003,121.3,98.6,0.9151,56.7,47.3,2.5,14.0,6.099999999999998,16.5,33.3,27.2,31.5,25.8,58.3,45.1,35.5,34.0,69.1,2.5,5.0,S16,2024
14,Alabama,SEC,1,32,21,23.10000000000001,125.2,102.1,0.9126,56.3,49.9,-0.40000000000000036,16.0,5.0,15.6,34.9,29.9,35.2,39.6,57.6,51.1,36.5,31.9,72.5,3.4,4.0,F4,2024
15,Kansas,B12,1,31,22,20.799999999999997,113.5,92.7,0.9111,53.4,47.6,0.40000000000000213,16.4,-1.0999999999999979,16.8,25.3,26.4,32.8,28.5,54.8,45.3,33.3,33.8,68.9,4.3,4.0,R32,2024
16,Baylor,B12,1,32,23,22.299999999999997,122.2,99.9,0.9103,55.6,51.3,-0.5999999999999979,17.7,8.0,17.1,35.1,27.1,40.5,30.9,53.4,51.9,39.4,33.5,65.7,5.1,3.0,R32,2024
17,BYU,B12,1,33,23,21.599999999999994,120.6,99.0,0.9067,55.1,48.0,0.8000000000000007,15.2,8.099999999999998,16.0,32.8,24.7,25.3,32.1,58.0,48.2,34.8,31.8,69.0,2.9,6.0,R64,2024
18,Wisconsin,B10,1,35,22,21.0,119.8,98.8,0.9018,52.4,52.2,2.299999999999999,14.6,6.0,16.9,30.5,24.5,33.5,33.2,52.6,50.4,34.8,37.1,65.0,3.3,5.0,R64,2024
19,Texas,B12,1,32,20,20.700000000000003,119.0,98.3,0.9006,53.7,49.0,2.0,16.6,0.5,18.6,30.5,30.0,30.4,35.0,53.4,47.4,36.1,34.8,67.2,1.2,7.0,R32,2024
20,St. John's,BE,1,33,20,20.799999999999997,119.1,98.3,0.9005,50.9,49.5,2.8000000000000007,15.7,8.3,18.5,38.6,30.3,27.3,34.4,50.8,47.9,34.1,35.0,69.2,0.32,,,2024
21,Nebraska,B10,1,33,23,20.10000000000001,115.7,95.6,0.8999,53.2,46.3,0.4999999999999982,15.9,-2.1999999999999993,16.4,27.8,30.0,32.4,27.7,52.8,45.2,35.8,31.9,68.7,2.4,8.0,R64,2024
22,Michigan St.,B10,1,33,19,19.400000000000006,112.7,93.3,0.8983,51.5,48.0,4.0,14.7,1.1999999999999993,18.7,29.9,28.7,29.9,32.6,50.5,47.1,35.9,32.8,65.3,0.21,9.0,R32,2024
23,Florida,SEC,1,35,24,20.400000000000006,119.7,99.3,0.8951,51.5,48.8,-1.3000000000000007,15.8,8.600000000000001,14.5,37.5,28.9,38.6,34.2,51.7,49.0,34.2,32.2,71.6,3.0,7.0,R64,2024
24,Kentucky,SEC,1,32,23,20.799999999999997,123.0,102.2,0.8934,57.4,49.5,1.8000000000000007,14.2,-1.3000000000000007,16.0,28.9,30.2,30.4,33.4,54.7,49.8,41.2,32.6,72.5,2.9,3.0,R64,2024
25,New Mexico,MWC,0,34,26,19.299999999999997,114.8,95.5,0.8927,51.0,48.0,5.6,13.9,6.399999999999999,19.5,33.4,27.0,33.1,33.5,51.4,49.2,33.4,30.6,72.8,1.7,11.0,R64,2024
26,Colorado,P12,1,34,24,19.200000000000003,117.2,98.0,0.8866,55.3,49.3,-2.900000000000002,18.1,8.399999999999999,15.2,32.4,24.0,35.3,28.1,53.6,50.1,39.4,31.9,67.7,1.7,10.0,R32,2024
27,Texas Tech,B12,1,33,23,19.099999999999994,117.5,98.4,0.8846,52.8,49.1,0.5,16.5,-0.10000000000000142,17.0,30.2,30.3,34.6,26.6,51.5,49.6,36.5,32.1,66.4,3.4,6.0,R64,2024
28,San Diego St.,MWC,0,32,24,17.599999999999994,111.5,93.9,0.8789,49.8,47.2,2.0,16.0,4.700000000000003,18.0,32.7,28.0,37.5,33.3,51.6,48.3,31.3,30.5,66.1,2.6,5.0,S16,2024
29,Mississippi St.,SEC,1,34,21,17.69999999999999,112.6,94.9,0.8772,51.7,47.7,-0.5,18.7,7.799999999999997,18.2,35.4,27.6,37.9,32.4,53.4,50.2,32.5,29.4,67.2,0.8,8.0,R64,2024
30,Northwestern,B10,1,32,21,18.0,117.2,99.2,0.8717,53.2,51.6,5.5,13.3,-2.5,18.8,25.7,28.2,29.9,39.4,49.7,50.3,39.4,35.9,63.7,1.5,9.0,R32,2024
31,Villanova,BE,1,33,18,16.900000000000006,110.4,93.5,0.871,50.7,48.2,1.6000000000000014,14.5,0.8000000000000007,16.1,25.2,24.4,26.5,25.9,50.4,47.6,34.0,32.7,63.3,-1.1,,,2024
32,TCU,B12,1,33,21,17.400000000000006,114.5,97.1,0.869,51.9,50.3,2.900000000000002,17.9,6.899999999999999,20.8,35.5,28.6,35.1,35.7,51.2,50.9,35.6,32.8,69.9,1.3,9.0,R64,2024
33,Wake Forest,ACC,1,33,20,17.5,116.5,99.0,0.866,54.7,48.9,0.5999999999999996,15.6,0.10000000000000142,16.2,26.3,26.2,31.5,30.7,54.0,48.8,37.2,32.6,68.0,-1.3,,,2024
34,Clemson,ACC,1,32,21,17.400000000000006,116.7,99.3,0.8647,53.9,48.7,-1.3000000000000007,14.9,2.5,13.6,27.7,25.2,30.6,31.2,54.4,47.1,35.4,34.0,66.2,0.9,6.0,E8,2024
35,Ohio St.,B10,1,33,20,17.099999999999994,115.5,98.4,0.8636,51.2,48.2,0.3000000000000007,15.6,2.1999999999999993,15.9,31.4,29.2,33.9,31.1,51.0,46.4,34.3,34.7,65.4,-0.23,,,2024
36,Nevada,MWC,0,32,26,17.099999999999994,115.1,98.0,0.8632,53.3,48.2,2.3000000000000007,15.0,0.3000000000000007,17.3,27.5,27.2,46.2,34.3,52.6,49.1,36.5,31.3,66.8,2.7,10.0,R64,2024
37,Pittsburgh,ACC,1,33,22,16.89999999999999,115.8,98.9,0.86,51.6,49.0,3.200000000000001,13.4,7.199999999999999,16.6,31.0,23.8,30.5,30.5,50.0,50.8,35.7,30.8,65.8,0.3,,,2024
38,Washington St.,P12,1,33,24,16.200000000000003,112.8,96.6,0.8556,52.1,47.3,-0.20000000000000107,16.1,8.0,15.9,32.9,24.9,31.7,32.7,52.6,46.9,34.0,32.0,64.9,1.9,7.0,R32,2024
39,Dayton,A10,0,31,24,16.700000000000003,117.4,100.7,0.8547,56.6,47.9,-0.10000000000000142,15.8,-2.1000000000000014,15.7,26.9,29.0,37.2,21.8,53.7,48.2,40.2,31.7,64.0,2.6,7.0,R32,2024
40,Boise St.,MWC,0,30,22,16.200000000000003,114.0,97.8,0.8538,51.6,49.8,0.3000000000000007,16.5,9.399999999999999,16.8,32.5,23.1,36.1,33.1,51.2,52.1,34.8,30.6,66.6,0.9,10.0,R68,2024
